Landscape_Treatment,Edge_Treatment,total,houseloss,carbon,powerloss,environmental,lifeloss,edge,landscape,region
l0,e0,3208467.58500641,0,2988247.98371445,0,220219.601291959,0,0,0,SA_MAM
l1,e1,3856237.90919136,0,2443477.10459277,0,245278.958598589,0,0,1167481.846,SA_MAM
l2,e2,4136655.73168916,0,2067840.73967512,0,266366.040014036,0,0,1802448.952,SA_MAM
l3,e3,4243249.90871963,0,1750329.804541,0,285880.468178631,0,0,2207039.636,SA_MAM
l5,e4,4721474.18564492,0,1604046.2098285,0,290762.641816417,0,0,2826665.334,SA_MAM
l10,e5,5746743.91034661,0,1350866.65638613,0,259413.666960483,0,0,4136463.587,SA_MAM
l15,e6,6700720.95727758,0,1347069.69750272,0,235685.206774855,0,0,5117966.053,SA_MAM
l0,e7,3556460.45596501,87.9078070283867,3485028.13824607,0,70652.3197555378,692.090156371705,0,0,SA_MDD
l1,e8,3234466.3199945,82.4856833787635,2592407.56721182,0,111710.208952459,690.732846851461,0,529575.3253,SA_MDD
l2,e9,2913821.9658092,76.0749753681011,1962016.87900748,0,141615.594033562,550.086292787455,0,809563.3315,SA_MDD
l3,e10,2677205.32555328,60.257785662543,1563439.98473756,0,152685.991030499,506.165399565361,0,960512.9266,SA_MDD
l5,e11,2480994.46271506,60.2075924689416,917170.930189463,0,166364.29315639,505.743776739109,0,1396893.288,SA_MDD
l10,e12,2750365.69974241,60.1660540269222,893266.604806822,0,255547.69002773,505.394853826147,0,1600985.844,SA_MDD
l15,e13,3328131.7874659,60.1838655711617,967066.650575869,0,274076.013553665,505.544470797759,0,2086423.395,SA_MDD
