"Landscape_Treatment","Edge_Treatment","total","houseloss","carbon","powerloss","environmental","lifeloss","edge","landscape","region"
"l0","e0",116992.373899183,0,16045.5023157291,0,100946.871583453,0,0,0,"NSW_BHILL"
"l1","e0",603724.658523877,0,15535.9026044693,0,97595.6309109275,0,0,490593.12500848,"NSW_BHILL"
"l2","e0",814799.206347475,0,15150.5544190215,0,95776.2308614054,0,0,703872.421067048,"NSW_BHILL"
"l3","e0",963252.51584601,0,14793.9675503223,0,94202.4116991284,0,0,854256.136596559,"NSW_BHILL"
"l5","e0",1352032.16190564,0,14149.7848678512,0,91682.2833213081,0,0,1246200.09371648,"NSW_BHILL"
"l10","e0",1392435.15148269,0,13190.4516961387,0,86824.7329862776,0,0,1292419.96680027,"NSW_BHILL"
"l15","e0",1538110.91593453,0,12016.0712685102,0,80479.4032348442,0,0,1445615.44143118,"NSW_BHILL"
"l0","e1",343269.787766166,0,15678.5714492624,0,98418.2614609095,0,229172.954855994,0,"NSW_BHILL"
"l1","e1",830078.133513248,0,15164.0847345568,0,95147.9689142168,0,229172.954855994,490593.12500848,"NSW_BHILL"
"l2","e1",1040936.11913213,0,14724.1093747243,0,93166.633834361,0,229172.954855994,703872.421067048,"NSW_BHILL"
"l3","e1",1189517.60037027,0,14415.6211534823,0,91672.8877642332,0,229172.954855994,854256.136596559,"NSW_BHILL"
"l5","e1",1578339.90110081,0,13763.4913537821,0,89203.3611745509,0,229172.954855994,1246200.09371648,"NSW_BHILL"
"l10","e1",1618795.07434939,0,12847.571561034,0,84354.5811320943,0,229172.954855994,1292419.96680027,"NSW_BHILL"
"l15","e1",1764717.2152905,0,11740.5353840382,0,78188.2836192908,0,229172.954855994,1445615.44143118,"NSW_BHILL"
"l0","e2",378666.435917375,0,15384.2363827893,0,96042.4729973049,0,267239.726537281,0,"NSW_BHILL"
"l1","e2",865355.580588452,0,14839.2508593137,0,92683.478183377,0,267239.726537281,490593.12500848,"NSW_BHILL"
"l2","e2",1076822.18102376,0,14413.9642941338,0,91296.0691252962,0,267239.726537281,703872.421067048,"NSW_BHILL"
"l3","e2",1224427.48618421,0,14061.0074834961,0,88870.615566875,0,267239.726537281,854256.136596559,"NSW_BHILL"
"l5","e2",1613704.83004181,0,13429.9308947494,0,86835.0788933043,0,267239.726537281,1246200.09371648,"NSW_BHILL"
"l10","e2",1654221.08826258,0,12527.3796230668,0,82034.0153019627,0,267239.726537281,1292419.96680027,"NSW_BHILL"
"l15","e2",1800156.56647422,0,11465.1320294202,0,75836.2664763406,0,267239.726537281,1445615.44143118,"NSW_BHILL"
"l0","e3",414788.756326753,0,15144.5526751994,0,94402.3106125365,0,305241.893039017,0,"NSW_BHILL"
"l1","e3",901619.569191658,0,14623.2275678241,0,91161.3235763365,0,305241.893039017,490593.12500848,"NSW_BHILL"
"l2","e3",1112831.06780345,0,14203.1846236444,0,89513.5690737428,0,305241.893039017,703872.421067048,"NSW_BHILL"
"l3","e3",1261111.8717841,0,13846.7552981787,0,87767.0868503453,0,305241.893039017,854256.136596559,"NSW_BHILL"
"l5","e3",1650273.06397294,0,13248.7920379875,0,85582.2851794534,0,305241.893039017,1246200.09371648,"NSW_BHILL"
"l10","e3",1690570.44513125,0,12317.1133398485,0,80591.4719521111,0,305241.893039017,1292419.96680027,"NSW_BHILL"
"l15","e3",1837205.60163728,0,11306.6420883083,0,75041.6250787778,0,305241.893039017,1445615.44143118,"NSW_BHILL"
"l0","e5",479453.904568274,0,15038.8596430284,0,94515.4221341971,0,369899.622791048,0,"NSW_BHILL"
"l1","e5",966158.467763175,0,14509.492909038,0,91156.2270546095,0,369899.622791048,490593.12500848,"NSW_BHILL"
"l2","e5",1177336.06640297,0,14030.8816215279,0,89533.1409233414,0,369899.622791048,703872.421067048,"NSW_BHILL"
"l3","e5",1325214.32602871,0,13713.5312270056,0,87345.0354141021,0,369899.622791048,854256.136596559,"NSW_BHILL"
"l5","e5",1714505.93911546,0,13110.3223785528,0,85295.9002293797,0,369899.622791048,1246200.09371648,"NSW_BHILL"
"l10","e5",1754874.75045966,0,12231.995266024,0,80323.1656023204,0,369899.622791048,1292419.96680027,"NSW_BHILL"
"l15","e5",1901363.77416486,0,11221.7206247028,0,74626.9893179293,0,369899.622791048,1445615.44143118,"NSW_BHILL"
