GCM,RCM,Edge_Treatment,Landscape_Treatment,Fire_area,House_loss,Life_loss,Road_loss,Power_loss,TFI_burnt,region
CCCMA3.1,R1,e0,l0,224.6604354,0.053268094,0.047673369,328.9798373,4.889305925,1.397907771,NSW_BHILL
CCCMA3.1,R1,e0,l1,216.9714902,0.05387636,0.048200888,327.7148924,4.941165511,1.683342569,NSW_BHILL
CCCMA3.1,R1,e0,l2,212.7382301,0.053499207,0.047853728,313.180568,4.904913811,1.670293289,NSW_BHILL
CCCMA3.1,R1,e0,l3,208.9397114,0.054152254,0.04842265,315.9636223,4.960977616,1.645767168,NSW_BHILL
CCCMA3.1,R1,e0,l5,202.8401986,0.054263068,0.048510535,312.9010526,4.968725907,1.966628005,NSW_BHILL
CCCMA3.1,R1,e0,l10,191.4954234,0.055045581,0.049178926,309.2550695,5.033258025,2.070097832,NSW_BHILL
CCCMA3.1,R1,e0,l15,176.344726,0.055145914,0.049255942,295.4102424,5.039807687,2.147690355,NSW_BHILL
CCCMA3.1,R1,e1,l0,218.8737044,0.054743379,0.048971094,329.3005144,5.018628462,1.676045157,NSW_BHILL
CCCMA3.1,R1,e1,l1,211.4188145,0.055261284,0.049427506,327.8235711,5.064279207,1.743771679,NSW_BHILL
CCCMA3.1,R1,e1,l2,206.7866889,0.054922735,0.04911115,312.9468004,5.030757524,1.731380938,NSW_BHILL
CCCMA3.1,R1,e1,l3,203.1752599,0.055008659,0.049178072,315.2297974,5.036534967,1.712165954,NSW_BHILL
CCCMA3.1,R1,e1,l5,197.2641593,0.055101511,0.04924951,312.5748972,5.042627132,1.980417519,NSW_BHILL
CCCMA3.1,R1,e1,l10,185.9336308,0.055786042,0.04984153,308.3936745,5.100558925,2.081187478,NSW_BHILL
CCCMA3.1,R1,e1,l15,171.2589334,0.055843013,0.049884984,294.6357302,5.10423042,2.15728265,NSW_BHILL
CCCMA3.1,R1,e2,l0,213.3409576,0.053639212,0.047964565,325.5522962,4.914667876,1.637967625,NSW_BHILL
CCCMA3.1,R1,e2,l1,205.6104784,0.054670827,0.048880436,324.675488,5.006840222,1.725814987,NSW_BHILL
CCCMA3.1,R1,e2,l2,202.3800006,0.054133993,0.048403049,310.2061519,4.958777636,1.718228687,NSW_BHILL
CCCMA3.1,R1,e2,l3,196.7718096,0.054401619,0.048617952,311.5992035,4.977958763,1.681938239,NSW_BHILL
CCCMA3.1,R1,e2,l5,191.781664,0.054455304,0.048659166,309.5252421,4.981465221,1.965267377,NSW_BHILL
