region,Edge_Treatment,Landscape_Treatment,X,Fire_area,House_loss,Life_loss,Road_loss,Power_loss,TFI_burnt,L_Burnt_Actual,E_Burnt_Actual,Scenario,GCM,RCM,GCM_RCM,Fire_area_rel,House_loss_rel,Life_loss_rel,Road_loss_rel,Power_loss_rel,TFI_burnt_rel
ACT,E00,L00,246,795.4223875,1.525037331,0.856856417,6414.055194,382.1640802,8.822569179,0,0,Present,,,,1,1,1,1,1,1
ACT,E00,L01,247,682.3506902,1.427665285,0.754646726,5325.619555,305.7959511,14.6327763,0.945081155,0,Present,,,,0.857846977,0.936151041,0.880715497,0.830304604,0.800169265,1.658561809
ACT,E00,L02,248,578.9626365,1.16315104,0.626995664,4231.378518,256.3864213,18.1488284,1.819285412,0,Present,,,,0.727868169,0.762703323,0.731739474,0.659704101,0.670880479,2.057091085
ACT,E00,L03,249,507.5015032,1.301372703,0.710666526,3559.684384,214.6078992,19.125426,2.67703255,0,Present,,,,0.638027683,0.85333826,0.829388112,0.554981876,0.561559577,2.167784192
ACT,E00,L05,250,438.4510061,1.093712117,0.60597276,2806.257031,195.8919784,22.24591369,3.880320336,0,Present,,,,0.551217835,0.717170718,0.707204554,0.43751682,0.512586055,2.521477954
ACT,E00,L10,251,358.1381384,0.992850663,0.513650025,2237.322719,167.6722909,21.60398299,4.490556709,0,Present,,,,0.450249005,0.651033678,0.59945869,0.348815632,0.438744245,2.448717891
ACT,E00,L15,252,311.2217737,1.08975351,0.57034517,1948.66093,156.4724985,19.34084468,5.038120582,0,Present,,,,0.391266048,0.714574973,0.665625137,0.303811063,0.409438005,2.192200966
ACT,E01,L00,253,791.4000332,1.466627862,0.790614689,6386.365683,378.1395572,9.347521142,0,0.938829297,Present,,,,0.994943122,0.961699646,0.922692149,0.995682995,0.989469123,1.059501031
ACT,E01,L01,254,682.1865277,1.370974957,0.734117378,5307.488887,300.5006028,15.29140652,0.945081155,0.938829297,Present,,,,0.857640593,0.898977966,0.856756585,0.827477894,0.786313048,1.733214692
ACT,E01,L02,255,573.0815527,1.135816746,0.642240705,4199.039438,255.3774597,19.10764054,1.819285412,0.938829297,Present,,,,0.720474507,0.744779635,0.749531301,0.654662193,0.668240353,2.165768287
ACT,E01,L03,256,509.428835,1.240915588,0.689508562,3533.317474,210.8173774,20.16020579,2.67703255,0.938829297,Present,,,,0.640450713,0.813695221,0.804695569,0.550871074,0.551641005,2.285071999
ACT,E01,L05,257,433.1535111,1.101843262,0.600792267,2781.511903,194.5176219,22.81810962,3.880320336,0.938829297,Present,,,,0.544557857,0.722502485,0.701158625,0.433658866,0.508989808,2.586333885
ACT,E01,L10,258,353.4543626,0.960636513,0.478049053,2216.149673,166.6051031,22.03015954,4.490556709,0.938829297,Present,,,,0.444360592,0.629910163,0.557910338,0.345514593,0.435951759,2.497023157
ACT,E01,L15,259,309.3478488,1.010750968,0.564553232,1932.57005,155.6170181,20.02945168,5.038120582,0.938829297,Present,,,,0.388910161,0.662771296,0.658865617,0.301302373,0.407199489,2.270251587
ACT,E02,L00,260,793.7023679,1.411575276,0.814745951,6377.093866,381.4571413,9.694251334,0,1.680736814,Present,,,,0.997837602,0.925600474,0.950854699,0.994237448,0.998150169,1.098801396
ACT,E02,L01,261,684.3278925,1.263116797,0.682338505,5290.461251,301.5709854,15.68304004,0.945081155,1.680736814,Present,,,,0.860332703,0.828253034,0.796327706,0.824823157,0.789113894,1.777604655
ACT,E02,L02,262,577.3123094,1.086638712,0.583899022,4209.630165,252.5793789,19.09269072,1.819285412,1.680736814,Present,,,,0.725793388,0.712532533,0.68144325,0.656313368,0.660918679,2.164073789
ACT,E02,L03,263,509.8873472,1.190884314,0.64822324,3520.043729,212.5819745,19.9754954,2.67703255,1.680736814,Present,,,,0.641027151,0.780888631,0.756513259,0.548801596,0.556258386,2.264135876
ACT,E02,L05,264,437.9232894,1.039055927,0.600803823,2764.116237,192.2527812,22.76980042,3.880320336,1.680736814,Present,,,,0.550554393,0.68133147,0.701172111,0.43094675,0.503063451,2.580858246
ACT,E02,L10,265,357.4672411,0.945093203,0.507900877,2200.196534,165.1788173,22.03703685,4.490556709,1.680736814,Present,,,,0.449405557,0.619718077,0.592749108,0.343027378,0.43221963,2.49780267
ACT,E02,L15,266,313.6046353,0.974666972,0.512069974,1890.360758,154.2846822,19.85091647,5.038120582,1.680736814,Present,,,,0.394261766,0.639110239,0.597614681,0.294721623,0.403713196,2.250015394
ACT,E03,L00,267,784.5768394,1.381067008,0.837838744,6307.395767,375.0817654,10.42125473,0,2.373442594,Present,,,,0.986365045,0.905595542,0.977805298,0.983370984,0.981467869,1.181204082
ACT,E03,L01,268,672.6668865,1.207800617,0.627458234,5247.48099,298.3362505,16.57709537,0.945081155,2.373442594,Present,,,,0.84567256,0.791981017,0.732279319,0.818122207,0.780649637,1.878941953
ACT,E03,L02,269,566.3620351,1.052893568,0.589728543,4155.124471,250.5033427,20.04049651,1.819285412,2.373442594,Present,,,,0.712026772,0.690405111,0.688246632,0.647815515,0.655486362,2.27150347
ACT,E03,L03,270,506.4809063,1.199402196,0.635596286,3471.856954,209.1409292,21.14300593,2.67703255,2.373442594,Present,,,,0.636744595,0.786473991,0.741776887,0.541288912,0.547254282,2.396468138
ACT,E03,L05,271,429.3941074,1.084615171,0.607996175,2719.823005,190.029147,23.51119613,3.880320336,2.373442594,Present,,,,0.539831559,0.711205653,0.709565993,0.424041098,0.497244919,2.664892238
ACT,E03,L10,272,348.5835118,0.985629878,0.538719443,2175.269106,162.7690754,22.76861131,4.490556709,2.373442594,Present,,,,0.438236989,0.646298853,0.628716121,0.339141002,0.425914114,2.580723466
ACT,E03,L15,273,310.3669764,0.944941724,0.521269469,1889.100952,150.8486001,20.64038123,5.038120582,2.373442594,Present,,,,0.390191402,0.61961875,0.608351012,0.29452521,0.394722079,2.339497806
ACT,E05,L00,274,778.2960915,1.278658266,0.725207676,6265.301532,375.9920652,11.28384803,0,3.547876071,Present,,,,0.978468929,0.838443912,0.846358458,0.976808172,0.98384983,1.278975296
ACT,E05,L01,275,666.601184,1.066379615,0.605476334,5175.408018,297.0465743,17.2975913,0.945081155,3.547876071,Present,,,,0.838046797,0.699248204,0.706625196,0.806885482,0.777274971,1.960607046
ACT,E05,L02,276,568.571373,1.066741285,0.598059774,4087.123455,247.7689909,20.75917428,1.819285412,3.547876071,Present,,,,0.714804338,0.699485359,0.69796965,0.63721364,0.648331447,2.352962482
ACT,E05,L03,277,495.8417506,0.942851234,0.520030073,3404.198742,204.092193,21.45574585,2.67703255,3.547876071,Present,,,,0.623369116,0.61824797,0.606904568,0.530740482,0.534043369,2.431915853
ACT,E05,L05,278,419.9756663,0.89540339,0.497945567,2677.009108,189.18248,24.17034453,3.880320336,3.547876071,Present,,,,0.527990754,0.587135392,0.581130698,0.417366085,0.495029465,2.739603854
ACT,E05,L10,279,342.7661707,0.858070734,0.507052537,2109.440192,160.1443029,23.17177637,4.490556709,3.547876071,Present,,,,0.430923464,0.56265556,0.591759047,0.328877774,0.419045931,2.626420479
ACT,E05,L15,280,298.7917002,0.864961491,0.473068435,1838.383766,148.1511951,21.15317165,5.038120582,3.547876071,Present,,,,0.375639038,0.567173979,0.552097675,0.286618015,0.387663841,2.397620378
ACT,E10,L00,281,762.2461906,0.530599412,0.263330345,6187.270003,368.7047193,12.2588251,0,4.583795192,Present,,,,0.958291095,0.347925524,0.307321437,0.964642463,0.964781198,1.389484724
ACT,E10,L01,282,662.4901446,0.498591898,0.253889898,5112.209332,292.6450775,17.85797126,0.945081155,4.583795192,Present,,,,0.832878424,0.326937504,0.2963039,0.797032326,0.765757675,2.024123687
ACT,E10,L02,283,559.412217,0.493278185,0.25011104,4045.767105,243.2707023,21.02359503,1.819285412,4.583795192,Present,,,,0.703289505,0.323453187,0.291893758,0.63076587,0.636560878,2.382933429
ACT,E10,L03,284,483.4170774,0.488872922,0.24647606,3366.206556,203.328039,21.63854863,2.67703255,4.583795192,Present,,,,0.607748895,0.320564561,0.287651531,0.524817211,0.532043825,2.452635756
ACT,E10,L05,285,414.1516798,0.460790788,0.239899787,2612.45042,187.8069181,24.2708223,3.880320336,4.583795192,Present,,,,0.520668875,0.302150498,0.279976648,0.407300895,0.491430063,2.750992575
ACT,E10,L10,286,341.3637113,0.444747086,0.23739485,2090.583786,157.9253969,23.75222465,4.490556709,4.583795192,Present,,,,0.429160301,0.291630294,0.277053244,0.325937916,0.413239771,2.692211777
ACT,E10,L15,287,295.1845999,0.433749968,0.234685066,1816.707539,145.9175902,21.13039237,5.038120582,4.583795192,Present,,,,0.371104214,0.284419246,0.273890773,0.283238526,0.381819218,2.395038445
ACT,E15,L00,288,768.760251,0.501475865,0.283046623,6149.713522,367.8917673,13.31927118,0,5.022216164,Present,,,,0.96648053,0.328828583,0.330331451,0.958787122,0.962653966,1.509681693
ACT,E15,L01,289,661.2706826,0.50376618,0.262958534,5083.610579,291.318186,18.83062644,0.945081155,5.022216164,Present,,,,0.831345324,0.330330392,0.306887512,0.792573563,0.762285628,2.134369939
ACT,E15,L02,290,557.343049,0.47422409,0.258266826,3997.877706,241.6357654,22.12722756,1.819285412,5.022216164,Present,,,,0.70068816,0.310959004,0.301412023,0.623299548,0.632282776,2.508025396
ACT,E15,L03,291,485.2019771,0.461301852,0.24816111,3351.942191,201.4026987,22.27077085,2.67703255,5.022216164,Present,,,,0.60999286,0.302485613,0.28961808,0.522593288,0.527005831,2.524295406
ACT,E15,L05,292,420.8661812,0.444569353,0.24293,2609.403224,186.778551,25.06467672,3.880320336,5.022216164,Present,,,,0.529110304,0.291513751,0.283513078,0.406825814,0.488739159,2.840972534
ACT,E15,L10,293,346.2370958,0.428779251,0.241699171,2063.632853,156.3336634,24.21714385,4.490556709,5.022216164,Present,,,,0.435287089,0.281159839,0.28207663,0.321736061,0.409074718,2.744908354
ACT,E15,L15,294,293.4285541,0.418821967,0.235921418,1795.273167,143.334017,21.8599851,5.038120582,5.022216164,Present,,,,0.368896524,0.274630633,0.275333666,0.279896744,0.375058841,2.477734621
ACT,E00,L00,,810.1053378,1.54732155,0.86911629,6562.67415,390.8477305,8.894073527,,,Future,CCCMA3.1,R1,CCCMA3.1_R1,1.018459312,1.014612245,1.014307966,1.023170826,1.022722309,1.008104708
ACT,E00,L00,,829.4015408,1.575371552,0.883126475,6752.348979,401.5926496,8.977684225,,,Future,CCCMA3.1,R2,CCCMA3.1_R2,1.042718377,1.033005239,1.030658646,1.052742575,1.050838293,1.017581619
ACT,E00,L00,,841.7367353,1.591839291,0.892554818,6860.737101,408.05583,9.040224063,,,Future,CCCMA3.1,R3,CCCMA3.1_R3,1.058226105,1.043803492,1.041662057,1.069641107,1.067750349,1.024670238
ACT,E00,L00,,832.754378,1.576120795,0.886569136,6745.111405,402.0828635,9.014841674,,,Future,CSIRO-MK3.0,R1,CSIRO-MK3.0_R1,1.046933543,1.033496534,1.034676427,1.051614182,1.052121024,1.021793254
