"","X","GCM","RCM","Edge_Treatment","Landscape_Treatment","Fire_area","House_loss","Life_loss","Road_loss","Power_loss","TFI_burnt","region"
"1",1,"CCCMA3.1"," R1","e0","l0",227.834182557554,0.0537598002756567,0.0481051210590522,333.359869498963,4.93249761893821,1.41035011910699,"NSW_BHILL"
"2",2,"CCCMA3.1"," R1","e0","l1",219.96767937592,0.0543535742963286,0.0486197636928409,331.985781416734,4.98306108966062,1.70283463263331,"NSW_BHILL"
"3",3,"CCCMA3.1"," R1","e0","l2",215.609716989586,0.0539882201792352,0.0482833331716392,317.265205801959,4.9479166718811,1.69095004793198,"NSW_BHILL"
"4",4,"CCCMA3.1"," R1","e0","l3",211.736357037279,0.054622096613457,0.0488355818197306,320.09607488726,5.00233970342379,1.66511747353652,"NSW_BHILL"
"5",5,"CCCMA3.1"," R1","e0","l5",205.465188344531,0.0547370577442052,0.048926909612419,316.771877784049,5.01040578637912,1.98866184960643,"NSW_BHILL"
"6",6,"CCCMA3.1"," R1","e0","l10",193.867498543542,0.0555033305681718,0.0495809772655775,313.101288124017,5.0735066888592,2.09301082525053,"NSW_BHILL"
"7",7,"CCCMA3.1"," R1","e0","l15",178.458718508515,0.0556064617285301,0.0496601749546244,299.110830990685,5.08024633563764,2.17028276199271,"NSW_BHILL"
"8",8,"CCCMA3.1"," R1","e1","l0",221.940927958882,0.0552331785002025,0.0494006799908675,333.661667205888,5.0615530271898,1.69583291699237,"NSW_BHILL"
"9",9,"CCCMA3.1"," R1","e1","l1",214.308989062566,0.0557376940105314,0.0498451080602536,332.0797556662,5.10598787150229,1.76422104981611,"NSW_BHILL"
"10",10,"CCCMA3.1"," R1","e1","l2",209.566493679382,0.0554088840908662,0.0495378505729605,317.028389825282,5.07342992750637,1.75284272221616,"NSW_BHILL"
"11",11,"CCCMA3.1"," R1","e1","l3",205.871398322166,0.055492392348242,0.049602886856519,319.398019961227,5.07904386904556,1.73266324991855,"NSW_BHILL"
"12",12,"CCCMA3.1"," R1","e1","l5",199.79754430166,0.055585266181879,0.0496743671374134,316.463486331486,5.08514063949406,2.00311323583737,"NSW_BHILL"
"13",13,"CCCMA3.1"," R1","e1","l10",188.213899836687,0.056252545919051,0.0502512260845833,312.256448760309,5.1415659909253,2.1046818329618,"NSW_BHILL"
"14",14,"CCCMA3.1"," R1","e1","l15",173.281399261181,0.0563109006634477,0.0502957531443826,298.346410032536,5.14532921624777,2.18058376368863,"NSW_BHILL"
"15",15,"CCCMA3.1"," R1","e2","l0",216.288443637928,0.0541378190064279,0.048401891181129,329.869372115354,4.95835967012681,1.65790948583453,"NSW_BHILL"
"16",16,"CCCMA3.1"," R1","e2","l1",208.369220384056,0.0551411393098533,0.0492924631544156,328.87487071639,5.04797048961336,1.74601188683591,"NSW_BHILL"
"17",17,"CCCMA3.1"," R1","e2","l2",205.028993706263,0.0546196102550311,0.0488287069401849,314.215554950351,5.0012807805615,1.73974797341943,"NSW_BHILL"
"18",18,"CCCMA3.1"," R1","e2","l3",199.391576401794,0.0548799794250954,0.049037761755244,315.729158119211,5.01993839498027,1.70225014524913,"NSW_BHILL"
"19",19,"CCCMA3.1"," R1","e2","l5",194.204734040306,0.0549335679170326,0.0490789110062906,313.34124201021,5.02344024789636,1.98748405944643,"NSW_BHILL"
"20",20,"CCCMA3.1"," R1","e2","l10",182.745890238203,0.055547254769408,0.0496129202565498,309.296373212419,5.0760620742949,2.08449072515068,"NSW_BHILL"
"21",21,"CCCMA3.1"," R1","e2","l15",167.912315556707,0.0557264263261459,0.0497527953939425,295.299078054086,5.08817424815788,2.15827746745781,"NSW_BHILL"
"22",22,"CCCMA3.1"," R1","e3","l0",212.570009087419,0.0548509426243982,0.0490154328235803,329.437350745138,5.01803548104363,1.69956283553911,"NSW_BHILL"
"23",23,"CCCMA3.1"," R1","e3","l1",205.022149066019,0.0555266874016525,0.0495998706810497,328.049616742646,5.07519927668909,1.75860478126997,"NSW_BHILL"
"24",24,"CCCMA3.1"," R1","e3","l2",200.989263326463,0.0548917962169071,0.049046456342694,312.879224642529,5.0206457508466,1.75999151702999,"NSW_BHILL"
